"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Wed Jul 19 09:24:46 CST 2023","Wed Jul 19 09:25:29 CST 2023","43074","","AppiumTest Page","","","","should open then auto finish",""
"unknown","Tue Jul 18 14:10:27 CST 2023","Tue Jul 18 14:11:27 CST 2023","60017","","system setting connect page","","","","should open with connect fragment",""
